And we're going to tell you some stories from the sea here in video.	Wir werden Ihnen einige Geschichten über das Meer in Videoform erzählen .
We've got some of the most incredible video of Titanic that's ever been seen, and we're not going to show you any of it.	Wir haben ein paar der unglaublichsten Aufnahmen der Titanic , die man je gesehen hat , , und wir werden Ihnen nichts davon zeigen .
The truth of the matter is that the Titanic -- even though it's breaking all sorts of box office records -- it's not the most exciting story from the sea.	Die Wahrheit ist , dass die Titanic – obwohl sie alle Kinokassenrekorde bricht – nicht gerade die aufregendste Geschichte vom Meer ist .
And the problem, I think, is that we take the ocean for granted.	Ich denke , das Problem ist , dass wir das Meer für zu selbstverständlich halten .
When you think about it, the oceans are 75 percent of the planet.	Wenn man darüber nachdenkt , machen die Ozeane 75 % des Planeten aus .
Most of the planet is ocean water.	Der Großteil der Erde ist Meerwasser .
The average depth is about two miles.	Die durchschnittliche Tiefe ist etwa 3 Kilometer .
Part of the problem, I think, is we stand at the beach, or we see images like this of the ocean, and you look out at this great big blue expanse, and it's shimmering and it's moving and there's waves and there's surf and there's tides, but you have no idea for what lies in there.	Ein Teil des Problems ist , dass wir am Strand stehen oder Bilder wie dieses hier sehen und auf die riesige blaue Weite schauen , und sie schimmert und bewegt sich , es gibt Wellen , Brandung und Gezeiten , aber wir haben keine Ahnung , was darin verborgen ist .
And in the oceans, there are the longest mountain ranges on the planet.	In den Ozeanen befinden sich die längsten Gebirgszüge des Planeten .
Most of the animals are in the oceans.	Die meisten Tiere leben in den Ozeanen .
Most of the earthquakes and volcanoes are in the sea, at the bottom of the sea.	Der Großteil der Erdbeben und Vulkanausbrüche spielt sich im Meer ab – am Meeresboden .
The biodiversity and the biodensity in the ocean is higher, in places, than it is in the rainforests.	An einigen Stellen ist die Vielfalt und die Dichte des Lebens im Ozean höher als in den Regenwäldern .
It's mostly unexplored, and yet there are beautiful sights like this that captivate us and make us become familiar with it.	Das meiste ist unerforscht , und doch gibt es Schönheiten wie diese , die uns fesseln und uns vertrauter mit ihm machen .
But when you're standing at the beach, I want you to think that you're standing at the edge of a very unfamiliar world.	Aber wenn Sie am Strand stehen , möchte ich , dass Sie sich vorstellen , an der Grenze zu einer unbekannten Welt zu stehen .
We have to have a very special technology to get into that unfamiliar world.	Wir müssen uns schon einer sehr speziellen Technik bedienen , um in diese unbekannte Welt vorzudringen .
